 SRR061730	689680
 SRR063538	403213
 SRR063539	388974
 SRR063540	192933
 SRR063541	302113
 SRR063542	253554
 SRR063543	404112
 SRR063544	342519
 SRR063545	350016
 SRR063546	303070
 SRR063547	356599
 SRR063548	356904
 SRR063549	384153
 SRR063550	393816
 SRR063551	411311
 SRR063552	354319
 SRR063553	364850
 SRR063554	405891
 SRR063555	375504
 SRR063556	383807
 SRR063557	339270
 SRR063558	336464
 SRR063560	247577
 SRR063561	336193
 SRR063562	413515
 SRR063563	393581
 SRR063564	392086
 SRR063565	405242
 SRR063566	300644
 SRR063567	332424
 SRR063568	351304
 SRR063569	344605
 SRR063570	318731
 SRR063571	245416
 SRR063572	373822
 SRR063573	324155
 SRR063574	355425
 SRR063575	347452
 SRR063576	274279
 SRR063577	328691
 SRR063578	378782
 SRR063579	363797
 SRR063580	361096
 SRR063581	388360
 SRR063582	376334
 SRR063584	377991
 SRR063585	380429
 SRR063586	344296
 SRR063587	356024
 SRR063588	373274
 SRR063589	331132
 SRR063801	588395
 SRR063802	498668
 SRR063898	531112
 SRR063899	560761
 SRR063900	521263
 SRR063901	571254
 SRR063902	500870
 SRR063903	581341
 SRR063904	626615
 SRR063905	516685
 SRR063906	585710
 SRR063907	388923
 SRR063908	549389
 SRR063909	615327
